,strain,gene,genotype,growth_rate
3527,seg_02B,gene_7010,Lab strain,4.92432415390247
3528,seg_02B,gene_7023,Lab strain,4.92432415390247
3529,seg_02B,gene_7037,Lab strain,4.92432415390247
3530,seg_02B,gene_7050,Lab strain,4.92432415390247
3531,seg_02B,gene_7063,Lab strain,4.92432415390247
3532,seg_02B,gene_7077,Lab strain,4.92432415390247
3533,seg_02B,gene_7090,Lab strain,4.92432415390247
3534,seg_02B,gene_7103,Lab strain,4.92432415390247
3535,seg_02B,gene_7117,Wild isolate,4.92432415390247
3536,seg_02B,gene_7130,Wild isolate,4.92432415390247
3537,seg_02B,gene_7143,Wild isolate,4.92432415390247
3538,seg_02B,gene_7157,Wild isolate,4.92432415390247
3539,seg_02B,gene_7170,Wild isolate,4.92432415390247
3540,seg_02B,gene_7183,Wild isolate,4.92432415390247
3541,seg_02B,gene_7197,Wild isolate,4.92432415390247
3542,seg_02B,gene_7210,Wild isolate,4.92432415390247
3543,seg_02B,gene_7223,Wild isolate,4.92432415390247
3544,seg_02B,gene_7237,Lab strain,4.92432415390247
3545,seg_02B,gene_7250,Lab strain,4.92432415390247
3546,seg_02B,gene_7263,Lab strain,4.92432415390247
3547,seg_02B,gene_7277,Lab strain,4.92432415390247
3548,seg_02B,gene_7290,Lab strain,4.92432415390247
3549,seg_02B,gene_7303,Lab strain,4.92432415390247
3550,seg_02B,gene_7317,Lab strain,4.92432415390247
3551,seg_02B,gene_7330,Lab strain,4.92432415390247
3552,seg_02B,gene_7343,Lab strain,4.92432415390247
3553,seg_02B,gene_7357,Lab strain,4.92432415390247
3554,seg_02B,gene_7370,Lab strain,4.92432415390247
3555,seg_02B,gene_7383,Lab strain,4.92432415390247
3556,seg_02B,gene_7397,Lab strain,4.92432415390247
3557,seg_02B,gene_7410,Lab strain,4.92432415390247
3558,seg_02B,gene_7423,Lab strain,4.92432415390247
3559,seg_02B,gene_7437,Lab strain,4.92432415390247
3560,seg_02B,gene_7450,Lab strain,4.92432415390247
3561,seg_02B,gene_7463,Lab strain,4.92432415390247
3562,seg_02B,gene_7477,Lab strain,4.92432415390247
3563,seg_02B,gene_7490,Lab strain,4.92432415390247
3564,seg_02B,gene_7503,Lab strain,4.92432415390247
3565,seg_02B,gene_7517,Lab strain,4.92432415390247
3566,seg_02B,gene_7530,Lab strain,4.92432415390247
3567,seg_02B,gene_7543,Lab strain,4.92432415390247
3568,seg_02B,gene_7557,Lab strain,4.92432415390247
3569,seg_02B,gene_7570,Lab strain,4.92432415390247
3570,seg_02B,gene_7583,Lab strain,4.92432415390247
3571,seg_02B,gene_7597,Lab strain,4.92432415390247
3572,seg_02B,gene_7610,Lab strain,4.92432415390247
3573,seg_02B,gene_7623,Lab strain,4.92432415390247
3574,seg_02B,gene_7636,Lab strain,4.92432415390247
3575,seg_02B,gene_7650,Lab strain,4.92432415390247
3576,seg_02B,gene_7663,Lab strain,4.92432415390247
3577,seg_02B,gene_7676,Wild isolate,4.92432415390247
3578,seg_02B,gene_7690,Wild isolate,4.92432415390247
3579,seg_02B,gene_7703,Wild isolate,4.92432415390247
3580,seg_02B,gene_7716,Wild isolate,4.92432415390247
3581,seg_02B,gene_7730,Wild isolate,4.92432415390247
3582,seg_02B,gene_7743,Wild isolate,4.92432415390247
3583,seg_02B,gene_7756,Wild isolate,4.92432415390247
3584,seg_02B,gene_7770,Wild isolate,4.92432415390247
3585,seg_02B,gene_7783,Lab strain,4.92432415390247
3586,seg_02B,gene_7796,Lab strain,4.92432415390247
3587,seg_02B,gene_7810,Lab strain,4.92432415390247
3588,seg_02B,gene_7823,Lab strain,4.92432415390247
3589,seg_02B,gene_7836,Lab strain,4.92432415390247
3590,seg_02B,gene_7850,Lab strain,4.92432415390247
3591,seg_02B,gene_7863,Lab strain,4.92432415390247
3592,seg_02B,gene_7876,Lab strain,4.92432415390247
3593,seg_02B,gene_7890,Lab strain,4.92432415390247
3594,seg_02B,gene_7903,Lab strain,4.92432415390247
3595,seg_02B,gene_7916,Lab strain,4.92432415390247
3596,seg_02B,gene_7930,Lab strain,4.92432415390247
3597,seg_02B,gene_7943,Wild isolate,4.92432415390247
3598,seg_02B,gene_7956,Lab strain,4.92432415390247
3599,seg_02B,gene_7970,Lab strain,4.92432415390247
3600,seg_02B,gene_7983,Lab strain,4.92432415390247
3601,seg_02B,gene_7996,Wild isolate,4.92432415390247
3602,seg_02B,gene_8010,Wild isolate,4.92432415390247
3603,seg_02B,gene_8023,Wild isolate,4.92432415390247
3604,seg_02B,gene_8036,Wild isolate,4.92432415390247
3605,seg_02B,gene_8050,Wild isolate,4.92432415390247
3606,seg_02B,gene_8063,Wild isolate,4.92432415390247
3607,seg_02B,gene_8076,Wild isolate,4.92432415390247
3608,seg_02B,gene_8090,Wild isolate,4.92432415390247
3609,seg_02B,gene_8103,Wild isolate,4.92432415390247
3610,seg_02B,gene_8116,Wild isolate,4.92432415390247
3611,seg_02B,gene_8130,Wild isolate,4.92432415390247
3612,seg_02B,gene_8143,Wild isolate,4.92432415390247
3613,seg_02B,gene_8156,Wild isolate,4.92432415390247
3614,seg_02B,gene_8170,Wild isolate,4.92432415390247
3615,seg_02B,gene_8183,Wild isolate,4.92432415390247
3616,seg_02B,gene_8196,Wild isolate,4.92432415390247
3617,seg_02B,gene_8210,Wild isolate,4.92432415390247
3618,seg_02B,gene_8223,Wild isolate,4.92432415390247
3619,seg_02B,gene_8236,Wild isolate,4.92432415390247
3620,seg_02B,gene_8249,Wild isolate,4.92432415390247
3621,seg_02B,gene_8263,Wild isolate,4.92432415390247
3622,seg_02B,gene_8276,Wild isolate,4.92432415390247
3623,seg_02B,gene_8289,Wild isolate,4.92432415390247
3624,seg_02B,gene_8303,Wild isolate,4.92432415390247
3625,seg_02B,gene_8316,Wild isolate,4.92432415390247
3626,seg_02B,gene_8329,Wild isolate,4.92432415390247
3627,seg_02B,gene_8343,Wild isolate,4.92432415390247
3628,seg_02B,gene_8356,Wild isolate,4.92432415390247
3629,seg_02B,gene_8369,Wild isolate,4.92432415390247
3630,seg_02B,gene_8383,Wild isolate,4.92432415390247
3631,seg_02B,gene_8396,Wild isolate,4.92432415390247
3632,seg_02B,gene_8409,Wild isolate,4.92432415390247
3633,seg_02B,gene_8423,Wild isolate,4.92432415390247
3634,seg_02B,gene_8436,Wild isolate,4.92432415390247
3635,seg_02B,gene_8449,Wild isolate,4.92432415390247
3636,seg_02B,gene_8463,Wild isolate,4.92432415390247
3637,seg_02B,gene_8476,Wild isolate,4.92432415390247
3638,seg_02B,gene_8489,Wild isolate,4.92432415390247
3639,seg_02B,gene_8503,Wild isolate,4.92432415390247
3640,seg_02B,gene_8516,Wild isolate,4.92432415390247
3641,seg_02B,gene_8529,Wild isolate,4.92432415390247
3642,seg_02B,gene_8543,Wild isolate,4.92432415390247
3643,seg_02B,gene_8556,Wild isolate,4.92432415390247
3644,seg_02B,gene_8569,Wild isolate,4.92432415390247
3645,seg_02B,gene_8583,Wild isolate,4.92432415390247
3646,seg_02B,gene_8596,Wild isolate,4.92432415390247
3647,seg_02B,gene_8609,Wild isolate,4.92432415390247
3648,seg_02B,gene_8623,Wild isolate,4.92432415390247
3649,seg_02B,gene_8636,Wild isolate,4.92432415390247
3650,seg_02B,gene_8649,Wild isolate,4.92432415390247
3651,seg_02B,gene_8663,Wild isolate,4.92432415390247
3652,seg_02B,gene_8676,Wild isolate,4.92432415390247
3653,seg_02B,gene_8689,Wild isolate,4.92432415390247
3654,seg_02B,gene_8703,Wild isolate,4.92432415390247
3655,seg_02B,gene_8716,Wild isolate,4.92432415390247
3656,seg_02B,gene_8729,Wild isolate,4.92432415390247
3657,seg_02B,gene_8743,Wild isolate,4.92432415390247
3658,seg_02B,gene_8756,Wild isolate,4.92432415390247
3659,seg_02B,gene_8769,Wild isolate,4.92432415390247
3660,seg_02B,gene_8783,Wild isolate,4.92432415390247
3661,seg_02B,gene_8796,Wild isolate,4.92432415390247
3662,seg_02B,gene_8809,Wild isolate,4.92432415390247
3663,seg_02B,gene_8823,Wild isolate,4.92432415390247
3664,seg_02B,gene_8836,Wild isolate,4.92432415390247
3665,seg_02B,gene_8849,Wild isolate,4.92432415390247
3666,seg_02B,gene_8863,Wild isolate,4.92432415390247
3667,seg_02B,gene_8876,Wild isolate,4.92432415390247
3668,seg_02B,gene_8889,Wild isolate,4.92432415390247
3669,seg_02B,gene_8902,Wild isolate,4.92432415390247
3670,seg_02B,gene_8916,Lab strain,4.92432415390247
3671,seg_02B,gene_8929,Lab strain,4.92432415390247
3672,seg_02B,gene_8942,Lab strain,4.92432415390247
3673,seg_02B,gene_8956,Lab strain,4.92432415390247
3674,seg_02B,gene_8969,Lab strain,4.92432415390247
3675,seg_02B,gene_8982,Lab strain,4.92432415390247
3676,seg_02B,gene_8996,Lab strain,4.92432415390247
3677,seg_02B,gene_9009,Lab strain,4.92432415390247
3678,seg_02B,gene_9022,Lab strain,4.92432415390247
3679,seg_02B,gene_9036,Wild isolate,4.92432415390247
3680,seg_02B,gene_9049,Lab strain,4.92432415390247
3681,seg_02B,gene_9062,Lab strain,4.92432415390247
3682,seg_02B,gene_9076,Lab strain,4.92432415390247
3683,seg_02B,gene_9089,Lab strain,4.92432415390247
3684,seg_02B,gene_9102,Lab strain,4.92432415390247
3685,seg_02B,gene_9116,Lab strain,4.92432415390247
3686,seg_02B,gene_9129,Lab strain,4.92432415390247
3687,seg_02B,gene_9142,Lab strain,4.92432415390247
3688,seg_02B,gene_9156,Lab strain,4.92432415390247
3689,seg_02B,gene_9169,Lab strain,4.92432415390247
3690,seg_02B,gene_9182,Lab strain,4.92432415390247
3691,seg_02B,gene_9196,Lab strain,4.92432415390247
3692,seg_02B,gene_9209,Lab strain,4.92432415390247
3693,seg_02B,gene_9222,Lab strain,4.92432415390247
3694,seg_02B,gene_9236,Lab strain,4.92432415390247
3695,seg_02B,gene_9249,Lab strain,4.92432415390247
3696,seg_02B,gene_9262,Lab strain,4.92432415390247
3697,seg_02B,gene_9276,Lab strain,4.92432415390247
3698,seg_02B,gene_9289,Lab strain,4.92432415390247
3699,seg_02B,gene_9302,Lab strain,4.92432415390247
3700,seg_02B,gene_9316,Wild isolate,4.92432415390247
3701,seg_02B,gene_9329,Wild isolate,4.92432415390247
3702,seg_02B,gene_9342,Wild isolate,4.92432415390247
3703,seg_02B,gene_9356,Wild isolate,4.92432415390247
3704,seg_02B,gene_9369,Wild isolate,4.92432415390247
3705,seg_02B,gene_9382,Wild isolate,4.92432415390247
3706,seg_02B,gene_9396,Wild isolate,4.92432415390247
3707,seg_02B,gene_9409,Wild isolate,4.92432415390247
3708,seg_02B,gene_9422,Wild isolate,4.92432415390247
3709,seg_02B,gene_9436,Wild isolate,4.92432415390247
3710,seg_02B,gene_9449,Wild isolate,4.92432415390247
3711,seg_02B,gene_9462,Wild isolate,4.92432415390247
3712,seg_02B,gene_9476,Wild isolate,4.92432415390247
3713,seg_02B,gene_9489,Wild isolate,4.92432415390247
3714,seg_02B,gene_9502,Wild isolate,4.92432415390247
3715,seg_02B,gene_9515,Wild isolate,4.92432415390247
3716,seg_02B,gene_9529,Wild isolate,4.92432415390247
3717,seg_02B,gene_9542,Wild isolate,4.92432415390247
3718,seg_02B,gene_9555,Wild isolate,4.92432415390247
3719,seg_02B,gene_9569,Wild isolate,4.92432415390247
3720,seg_02B,gene_9582,Lab strain,4.92432415390247
3721,seg_02B,gene_9595,Lab strain,4.92432415390247
3722,seg_02B,gene_9609,Lab strain,4.92432415390247
3723,seg_02B,gene_9622,Lab strain,4.92432415390247
3724,seg_02B,gene_9635,Lab strain,4.92432415390247
3725,seg_02B,gene_9649,Lab strain,4.92432415390247
3726,seg_02B,gene_9662,Lab strain,4.92432415390247
3727,seg_02B,gene_9675,Lab strain,4.92432415390247
3728,seg_02B,gene_9689,Lab strain,4.92432415390247
3729,seg_02B,gene_9702,Lab strain,4.92432415390247
3730,seg_02B,gene_9715,Lab strain,4.92432415390247
3731,seg_02B,gene_9729,Lab strain,4.92432415390247
3732,seg_02B,gene_9742,Lab strain,4.92432415390247
3733,seg_02B,gene_9755,Lab strain,4.92432415390247
3734,seg_02B,gene_9769,Lab strain,4.92432415390247
3735,seg_02B,gene_9782,Lab strain,4.92432415390247
3736,seg_02B,gene_9795,Lab strain,4.92432415390247
3737,seg_02B,gene_9809,Lab strain,4.92432415390247
3738,seg_02B,gene_9822,Lab strain,4.92432415390247
3739,seg_02B,gene_9835,Lab strain,4.92432415390247
3740,seg_02B,gene_9849,Lab strain,4.92432415390247
3741,seg_02B,gene_9862,Lab strain,4.92432415390247
3742,seg_02B,gene_9875,Lab strain,4.92432415390247
3743,seg_02B,gene_9889,Lab strain,4.92432415390247
3744,seg_02B,gene_9902,Lab strain,4.92432415390247
3745,seg_02B,gene_9915,Lab strain,4.92432415390247
3746,seg_02B,gene_9929,Lab strain,4.92432415390247
3747,seg_02B,gene_9942,Lab strain,4.92432415390247
3748,seg_02B,gene_9955,Lab strain,4.92432415390247
3749,seg_02B,gene_9969,Lab strain,4.92432415390247
3750,seg_02B,gene_9982,Lab strain,4.92432415390247
3751,seg_02B,gene_9995,Lab strain,4.92432415390247
3752,seg_02B,gene_10009,Wild isolate,4.92432415390247
3753,seg_02B,gene_10022,Wild isolate,4.92432415390247
3754,seg_02B,gene_10035,Wild isolate,4.92432415390247
3755,seg_02B,gene_10049,Wild isolate,4.92432415390247
3756,seg_02B,gene_10062,Wild isolate,4.92432415390247
3757,seg_02B,gene_10075,Wild isolate,4.92432415390247
3758,seg_02B,gene_10089,Wild isolate,4.92432415390247
3759,seg_02B,gene_10102,Wild isolate,4.92432415390247
3760,seg_02B,gene_10115,Wild isolate,4.92432415390247
3761,seg_02B,gene_10129,Wild isolate,4.92432415390247
3762,seg_02B,gene_10142,Wild isolate,4.92432415390247
3763,seg_02B,gene_10155,Wild isolate,4.92432415390247
3764,seg_02B,gene_10168,Wild isolate,4.92432415390247
3765,seg_02B,gene_10182,Wild isolate,4.92432415390247
3766,seg_02B,gene_10195,Wild isolate,4.92432415390247
3767,seg_02B,gene_10208,Wild isolate,4.92432415390247
3768,seg_02B,gene_10222,Wild isolate,4.92432415390247
3769,seg_02B,gene_10235,Wild isolate,4.92432415390247
3770,seg_02B,gene_10248,Wild isolate,4.92432415390247
3771,seg_02B,gene_10262,Wild isolate,4.92432415390247
3772,seg_02B,gene_10275,Wild isolate,4.92432415390247
3773,seg_02B,gene_10288,Wild isolate,4.92432415390247
3774,seg_02B,gene_10302,Wild isolate,4.92432415390247
3775,seg_02B,gene_10315,Wild isolate,4.92432415390247
3776,seg_02B,gene_10328,Wild isolate,4.92432415390247
3777,seg_02B,gene_10342,Wild isolate,4.92432415390247
3778,seg_02B,gene_10355,Wild isolate,4.92432415390247
3779,seg_02B,gene_10368,Wild isolate,4.92432415390247
3780,seg_02B,gene_10382,Wild isolate,4.92432415390247
3781,seg_02B,gene_10395,Wild isolate,4.92432415390247
3782,seg_02B,gene_10408,Wild isolate,4.92432415390247
3783,seg_02B,gene_10422,Wild isolate,4.92432415390247
3784,seg_02B,gene_10435,Wild isolate,4.92432415390247
3785,seg_02B,gene_10448,Wild isolate,4.92432415390247
3786,seg_02B,gene_10462,Wild isolate,4.92432415390247
3787,seg_02B,gene_10475,Wild isolate,4.92432415390247
3788,seg_02B,gene_10488,Wild isolate,4.92432415390247
3789,seg_02B,gene_10502,Wild isolate,4.92432415390247
3790,seg_02B,gene_10515,Wild isolate,4.92432415390247
3791,seg_02B,gene_10528,Wild isolate,4.92432415390247
3792,seg_02B,gene_10542,Wild isolate,4.92432415390247
3793,seg_02B,gene_10555,Wild isolate,4.92432415390247
3794,seg_02B,gene_10568,Wild isolate,4.92432415390247
3795,seg_02B,gene_10582,Wild isolate,4.92432415390247
3796,seg_02B,gene_10595,Wild isolate,4.92432415390247
3797,seg_02B,gene_10608,Lab strain,4.92432415390247
3798,seg_02B,gene_10622,Lab strain,4.92432415390247
3799,seg_02B,gene_10635,Lab strain,4.92432415390247
3800,seg_02B,gene_10648,Lab strain,4.92432415390247
3801,seg_02B,gene_10662,Lab strain,4.92432415390247
3802,seg_02B,gene_10675,Lab strain,4.92432415390247
3803,seg_02B,gene_10688,Lab strain,4.92432415390247
3804,seg_02B,gene_10702,Lab strain,4.92432415390247
3805,seg_02B,gene_10715,Lab strain,4.92432415390247
3806,seg_02B,gene_10728,Lab strain,4.92432415390247
3807,seg_02B,gene_10742,Lab strain,4.92432415390247
3808,seg_02B,gene_10755,Lab strain,4.92432415390247
3809,seg_02B,gene_10768,Lab strain,4.92432415390247
3810,seg_02B,gene_10781,Lab strain,4.92432415390247
3811,seg_02B,gene_10795,Lab strain,4.92432415390247
3812,seg_02B,gene_10808,Lab strain,4.92432415390247
3813,seg_02B,gene_10821,Lab strain,4.92432415390247
3814,seg_02B,gene_10835,Lab strain,4.92432415390247
3815,seg_02B,gene_10848,Lab strain,4.92432415390247
3816,seg_02B,gene_10861,Lab strain,4.92432415390247
3817,seg_02B,gene_10875,Lab strain,4.92432415390247
3818,seg_02B,gene_10888,Lab strain,4.92432415390247
3819,seg_02B,gene_10901,Lab strain,4.92432415390247
3820,seg_02B,gene_10915,Lab strain,4.92432415390247
3821,seg_02B,gene_10928,Lab strain,4.92432415390247
3822,seg_02B,gene_10941,Lab strain,4.92432415390247
3823,seg_02B,gene_10955,Lab strain,4.92432415390247
3824,seg_02B,gene_10968,Wild isolate,4.92432415390247
3825,seg_02B,gene_10981,Wild isolate,4.92432415390247
3826,seg_02B,gene_10995,Lab strain,4.92432415390247
3827,seg_02B,gene_11008,Lab strain,4.92432415390247
3828,seg_02B,gene_11021,Wild isolate,4.92432415390247
3829,seg_02B,gene_11035,Lab strain,4.92432415390247
3830,seg_02B,gene_11048,Wild isolate,4.92432415390247
3831,seg_02B,gene_11061,Wild isolate,4.92432415390247
3832,seg_02B,gene_11075,Wild isolate,4.92432415390247
3833,seg_02B,gene_11088,Wild isolate,4.92432415390247
3834,seg_02B,gene_11101,Wild isolate,4.92432415390247
3835,seg_02B,gene_11115,Wild isolate,4.92432415390247
3836,seg_02B,gene_11128,Wild isolate,4.92432415390247
3837,seg_02B,gene_11141,Wild isolate,4.92432415390247
3838,seg_02B,gene_11155,Wild isolate,4.92432415390247
3839,seg_02B,gene_11168,Wild isolate,4.92432415390247
3840,seg_02B,gene_11181,Wild isolate,4.92432415390247
3841,seg_02B,gene_11195,Wild isolate,4.92432415390247
3842,seg_02B,gene_11208,Wild isolate,4.92432415390247
3843,seg_02B,gene_11221,Wild isolate,4.92432415390247
3844,seg_02B,gene_11235,Wild isolate,4.92432415390247
3845,seg_02B,gene_11248,Wild isolate,4.92432415390247
3846,seg_02B,gene_11261,Wild isolate,4.92432415390247
3847,seg_02B,gene_11275,Wild isolate,4.92432415390247
3848,seg_02B,gene_11288,Wild isolate,4.92432415390247
3849,seg_02B,gene_11301,Wild isolate,4.92432415390247
3850,seg_02B,gene_11315,Wild isolate,4.92432415390247
3851,seg_02B,gene_11328,Wild isolate,4.92432415390247
3852,seg_02B,gene_11341,Wild isolate,4.92432415390247
3853,seg_02B,gene_11355,Wild isolate,4.92432415390247
3854,seg_02B,gene_11368,Wild isolate,4.92432415390247
3855,seg_02B,gene_11381,Wild isolate,4.92432415390247
3856,seg_02B,gene_11395,Wild isolate,4.92432415390247
3857,seg_02B,gene_11408,Wild isolate,4.92432415390247
3858,seg_02B,gene_11421,Wild isolate,4.92432415390247
3859,seg_02B,gene_11434,Wild isolate,4.92432415390247
3860,seg_02B,gene_11448,Wild isolate,4.92432415390247
3861,seg_02B,gene_11461,Wild isolate,4.92432415390247
3862,seg_02B,gene_11474,Wild isolate,4.92432415390247
3863,seg_02B,gene_11488,Wild isolate,4.92432415390247
3864,seg_02B,gene_11501,Lab strain,4.92432415390247
3865,seg_02B,gene_11514,Lab strain,4.92432415390247
3866,seg_02B,gene_11528,Lab strain,4.92432415390247
3867,seg_02B,gene_11541,Lab strain,4.92432415390247
3868,seg_02B,gene_11554,Lab strain,4.92432415390247
3869,seg_02B,gene_11568,Lab strain,4.92432415390247
3870,seg_02B,gene_11581,Lab strain,4.92432415390247
3871,seg_02B,gene_11594,Lab strain,4.92432415390247
3872,seg_02B,gene_11608,Lab strain,4.92432415390247
3873,seg_02B,gene_11621,Lab strain,4.92432415390247
3874,seg_02B,gene_11634,Lab strain,4.92432415390247
3875,seg_02B,gene_11648,Lab strain,4.92432415390247
3876,seg_02B,gene_11661,Lab strain,4.92432415390247
3877,seg_02B,gene_11674,Lab strain,4.92432415390247
3878,seg_02B,gene_11688,Lab strain,4.92432415390247
3879,seg_02B,gene_11701,Lab strain,4.92432415390247
3880,seg_02B,gene_11714,Lab strain,4.92432415390247
3881,seg_02B,gene_11728,Lab strain,4.92432415390247
3882,seg_02B,gene_11741,Lab strain,4.92432415390247
3883,seg_02B,gene_11754,Lab strain,4.92432415390247
3884,seg_02B,gene_11768,Lab strain,4.92432415390247
3885,seg_02B,gene_11781,Lab strain,4.92432415390247
3886,seg_02B,gene_11794,Wild isolate,4.92432415390247
3887,seg_02B,gene_11808,Wild isolate,4.92432415390247
3888,seg_02B,gene_11821,Wild isolate,4.92432415390247
3889,seg_02B,gene_11834,Wild isolate,4.92432415390247
3890,seg_02B,gene_11848,Wild isolate,4.92432415390247
3891,seg_02B,gene_11861,Wild isolate,4.92432415390247
3892,seg_02B,gene_11874,Wild isolate,4.92432415390247
3893,seg_02B,gene_11888,Wild isolate,4.92432415390247
3894,seg_02B,gene_11901,Wild isolate,4.92432415390247
3895,seg_02B,gene_11914,Wild isolate,4.92432415390247
3896,seg_02B,gene_11928,Lab strain,4.92432415390247
3897,seg_02B,gene_11941,Lab strain,4.92432415390247
3898,seg_02B,gene_11954,Lab strain,4.92432415390247
3899,seg_02B,gene_11968,Lab strain,4.92432415390247
3900,seg_02B,gene_11981,Lab strain,4.92432415390247
3901,seg_02B,gene_11994,Lab strain,4.92432415390247
3902,seg_02B,gene_12008,Lab strain,4.92432415390247
3903,seg_02B,gene_12021,Lab strain,4.92432415390247
3904,seg_02B,gene_12034,Lab strain,4.92432415390247
3905,seg_02B,gene_12047,Lab strain,4.92432415390247
3906,seg_02B,gene_12061,Lab strain,4.92432415390247
3907,seg_02B,gene_12074,Lab strain,4.92432415390247
3908,seg_02B,gene_12087,Lab strain,4.92432415390247
3909,seg_02B,gene_12101,Lab strain,4.92432415390247
3910,seg_02B,gene_12114,Lab strain,4.92432415390247
3911,seg_02B,gene_12127,Lab strain,4.92432415390247
3912,seg_02B,gene_12141,Lab strain,4.92432415390247
3913,seg_02B,gene_12154,Lab strain,4.92432415390247
3914,seg_02B,gene_12167,Lab strain,4.92432415390247
3915,seg_02B,gene_12181,Lab strain,4.92432415390247
3916,seg_02B,gene_12194,Lab strain,4.92432415390247
3917,seg_02B,gene_12207,Wild isolate,4.92432415390247
3918,seg_02B,gene_12221,Wild isolate,4.92432415390247
3919,seg_02B,gene_12234,Wild isolate,4.92432415390247
3920,seg_02B,gene_12247,Wild isolate,4.92432415390247
3921,seg_02B,gene_12261,Wild isolate,4.92432415390247
3922,seg_02B,gene_12274,Wild isolate,4.92432415390247
3923,seg_02B,gene_12287,Wild isolate,4.92432415390247
3924,seg_02B,gene_12301,Wild isolate,4.92432415390247
3925,seg_02B,gene_12314,Wild isolate,4.92432415390247
3926,seg_02B,gene_12327,Wild isolate,4.92432415390247
3927,seg_02B,gene_12341,Wild isolate,4.92432415390247
3928,seg_02B,gene_12354,Wild isolate,4.92432415390247
3929,seg_02B,gene_12367,Wild isolate,4.92432415390247
3930,seg_02B,gene_12381,Wild isolate,4.92432415390247
3931,seg_02B,gene_12394,Wild isolate,4.92432415390247
3932,seg_02B,gene_12407,Wild isolate,4.92432415390247
3933,seg_02B,gene_12421,Wild isolate,4.92432415390247
3934,seg_02B,gene_12434,Lab strain,4.92432415390247
3935,seg_02B,gene_12447,Wild isolate,4.92432415390247
3936,seg_02B,gene_12461,Wild isolate,4.92432415390247
3937,seg_02B,gene_12474,Wild isolate,4.92432415390247
3938,seg_02B,gene_12487,Wild isolate,4.92432415390247
3939,seg_02B,gene_12501,Wild isolate,4.92432415390247
3940,seg_02B,gene_12514,Wild isolate,4.92432415390247
3941,seg_02B,gene_12527,Wild isolate,4.92432415390247
3942,seg_02B,gene_12541,Wild isolate,4.92432415390247
3943,seg_02B,gene_12554,Wild isolate,4.92432415390247
3944,seg_02B,gene_12567,Wild isolate,4.92432415390247
3945,seg_02B,gene_12581,Wild isolate,4.92432415390247
3946,seg_02B,gene_12594,Wild isolate,4.92432415390247
3947,seg_02B,gene_12607,Wild isolate,4.92432415390247
3948,seg_02B,gene_12621,Wild isolate,4.92432415390247
3949,seg_02B,gene_12634,Wild isolate,4.92432415390247
3950,seg_02B,gene_12647,Wild isolate,4.92432415390247
3951,seg_02B,gene_12661,Wild isolate,4.92432415390247
3952,seg_02B,gene_12674,Wild isolate,4.92432415390247
3953,seg_02B,gene_12687,Wild isolate,4.92432415390247
3954,seg_02B,gene_12700,Wild isolate,4.92432415390247
3955,seg_02B,gene_12714,Wild isolate,4.92432415390247
3956,seg_02B,gene_12727,Wild isolate,4.92432415390247
3957,seg_02B,gene_12740,Wild isolate,4.92432415390247
3958,seg_02B,gene_12754,Wild isolate,4.92432415390247
3959,seg_02B,gene_12767,Wild isolate,4.92432415390247
3960,seg_02B,gene_12780,Wild isolate,4.92432415390247
3961,seg_02B,gene_12794,Wild isolate,4.92432415390247
3962,seg_02B,gene_12807,Wild isolate,4.92432415390247
3963,seg_02B,gene_12820,Wild isolate,4.92432415390247
3964,seg_02B,gene_12834,Wild isolate,4.92432415390247
3965,seg_02B,gene_12847,Wild isolate,4.92432415390247
3966,seg_02B,gene_12860,Wild isolate,4.92432415390247
3967,seg_02B,gene_12874,Wild isolate,4.92432415390247
3968,seg_02B,gene_12887,Wild isolate,4.92432415390247
3969,seg_02B,gene_12900,Wild isolate,4.92432415390247
3970,seg_02B,gene_12914,Wild isolate,4.92432415390247
3971,seg_02B,gene_12927,Wild isolate,4.92432415390247
3972,seg_02B,gene_12940,Wild isolate,4.92432415390247
3973,seg_02B,gene_12954,Wild isolate,4.92432415390247
3974,seg_02B,gene_12967,Wild isolate,4.92432415390247
3975,seg_02B,gene_12980,Wild isolate,4.92432415390247
3976,seg_02B,gene_12994,Wild isolate,4.92432415390247
3977,seg_02B,gene_13007,Wild isolate,4.92432415390247
3978,seg_02B,gene_13020,Wild isolate,4.92432415390247
3979,seg_02B,gene_13034,Wild isolate,4.92432415390247
3980,seg_02B,gene_13047,Lab strain,4.92432415390247
3981,seg_02B,gene_13060,Lab strain,4.92432415390247
3982,seg_02B,gene_13074,Lab strain,4.92432415390247
3983,seg_02B,gene_13087,Lab strain,4.92432415390247
3984,seg_02B,gene_13100,Lab strain,4.92432415390247
3985,seg_02B,gene_13114,Lab strain,4.92432415390247
3986,seg_02B,gene_13127,Lab strain,4.92432415390247
3987,seg_02B,gene_13140,Lab strain,4.92432415390247
3988,seg_02B,gene_13154,Lab strain,4.92432415390247
3989,seg_02B,gene_13167,Lab strain,4.92432415390247
3990,seg_02B,gene_13180,Lab strain,4.92432415390247
3991,seg_02B,gene_13194,Lab strain,4.92432415390247
3992,seg_02B,gene_13207,Lab strain,4.92432415390247
3993,seg_02B,gene_13220,Lab strain,4.92432415390247
3994,seg_02B,gene_13234,Lab strain,4.92432415390247
3995,seg_02B,gene_13247,Lab strain,4.92432415390247
3996,seg_02B,gene_13260,Lab strain,4.92432415390247
3997,seg_02B,gene_13274,Lab strain,4.92432415390247
3998,seg_02B,gene_13287,Lab strain,4.92432415390247
3999,seg_02B,gene_13300,Lab strain,4.92432415390247
